,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Aech|LOC105144162,5933.90208070159,-4.01682442555969,0.181734995428516,-22.102646857245894,2.980722364025179e-108,3.172382812031989e-104
Aech|LOC105148307,351.57522180079803,-3.9276348195196302,0.21789368088990305,-18.025464545271397,1.22974825126637e-72,6.544105319114e-69
Aech|LOC105149897,84.0065639385882,-6.540986535065732,0.41453256522805,-15.7791862057141,4.3273124260522e-56,1.5351862050157896e-52
Aech|LOC105152929,85.2732735083224,-5.54242518016667,0.364528886637733,-15.2043511044838,3.3089324656178984e-52,8.80424205789283e-49
Aech|LOC105151872,1400.52939675668,-4.2161692085755496,0.31719724625997,-13.2919477022195,2.57779646474233e-40,5.48709755485051e-37
Aech|LOC105149038,322.855255679241,-4.40204003349982,0.336870863496313,-13.067440703573899,5.053734268322159e-39,8.964482302958789e-36
Aech|LOC105146350,231.01965563219105,-3.5604025018487,0.276564242885728,-12.8736906286175,6.330351832835659e-38,9.624847793838559e-35
Aech|LOC105145138,43.277007987804396,-5.41173600922995,0.4435582423561571,-12.200733731117499,3.080356587502069e-34,4.09802939509807e-31
Aech|LOC105154186,2897.4874873023305,-2.6209770106789,0.215198440494663,-12.179349463008304,4.00463272009555e-34,4.73570067110855e-31
Aech|LOC105151642,724.6321949098932,-4.56368690016383,0.376952109191418,-12.106808236073196,9.72034577501442e-34,1.03453640083478e-30
Aech|LOC105147411,1384.28224772079,-2.0550849698131297,0.16991261331265195,-12.0949523978636,1.1230733405208e-33,1.0866245057420798e-30
Aech|LOC105149497,410.50293548186096,-2.5187807108628,0.21598403825514,-11.6618835873759,1.99577800987673e-31,1.7700887799265e-28
Aech|LOC105147659,51.772341249933795,-3.5671425852135097,0.312660772059714,-11.4089866845599,3.770965967635659e-30,3.08726083027279e-27
Aech|LOC105144331,630.350738672506,-3.5111515381123706,0.310594311673203,-11.3046228026439,1.2448794088803597e-29,9.46375110622407e-27
Aech|LOC105150113,3183.22362113487,-3.2953231212663,0.293357014874722,-11.233149214698601,2.80306310981512e-29,1.98886671185082e-26
Aech|LOC105144225,446.874457183349,-2.8942858778440805,0.25788927787042104,-11.2229787207297,3.144955444117849e-29,2.09198504948414e-26
Aech|LOC105153243,77.6704502312043,-3.6287454886320094,0.32478604517610105,-11.1727259915508,5.54524720524843e-29,3.47165094149759e-26
Aech|LOC105147032,347.218299974785,-3.6043112596806894,0.327057217193159,-11.0204302800999,3.04599544121456e-28,1.80102941560258e-25
Aech|LOC105148706,2093.5486295199803,-3.47766776037565,0.31703748806341603,-10.9692635455149,5.37080546894453e-28,2.967535488494119e-25
Aech|LOC105152409,780.804216922726,2.48156729612333,0.226299284236685,10.9658645386075,5.5765019045271385e-28,2.967535488494119e-25
Aech|LOC105150625,12339.8678247926,-2.81464118680251,0.25801543428656304,-10.908809368653701,1.0461753491069998e-27,5.302116305021799e-25
Aech|LOC105144299,4987.43584202902,-3.8419908246179104,0.3590464884565949,-10.7005386437093,1.01188283555668e-26,4.8952131903771385e-24
Aech|LOC105154606,26.8094933356678,-5.00419971908844,0.4682027332226021,-10.6881044556168,1.15711656283466e-26,5.354431120977949e-24
Aech|LOC105150491,261384.378238356,-4.16002025337548,0.395150272006956,-10.527691736733098,6.439414887886868e-26,2.85561219382416e-23
Aech|LOC105145228,6411.975007712072,-3.1262996100715,0.29729574920649,-10.5157898100322,7.306601634053588e-26,3.110566447649289e-23
Aech|LOC105147983,1123.62811033983,-2.3981983633771096,0.229937577752542,-10.429780059517,1.8130747787344395e-25,7.421751873104079e-23
Aech|LOC105145250,138.546703984723,-2.60626617037975,0.253744794937607,-10.271210375056599,9.5005122299266e-25,3.7449611727077292e-22
Aech|LOC105143176,443.677403941018,-2.03793304133667,0.199517637480986,-10.2143001845182,1.71109366180745e-24,6.503989229505968e-22
Aech|LOC105148313,1680.56244582772,-3.19077587384882,0.31417360311448805,-10.156091543712801,3.11306870510536e-24,1.14249621477367e-21
Aech|LOC105153830,3379.58668388026,-2.8581024017703,0.285834735798102,-9.99914301454639,1.5372155941573e-23,5.45352852287204e-21
Aech|LOC105151253,947.692498164296,-4.17584046212048,0.42170053065922,-9.902383702464473,4.06469395716626e-23,1.3955012189071102e-20
Aech|LOC105150852,3933.7059303273695,-3.1339561463174803,0.317526096218355,-9.869916783665973,5.62112246634278e-23,1.86955020029019e-20
Aech|LOC105153952,154.004912295965,-3.3187436783007995,0.337000515844092,-9.84788901580246,6.999869632809559e-23,2.25756401521188e-20
Aech|LOC105145139,437.73725552387606,-4.33216987577062,0.440578410068192,-9.83291458857481,8.123310069784579e-23,2.54283497272698e-20
Aech|LOC105147903,655.982732905321,-2.9323811069393804,0.301775474168798,-9.71709551618221,2.54950013259895e-22,7.75266568892875e-20
Aech|LOC105145159,259.287357079812,-4.1632791984914785,0.429251190819436,-9.69893453421485,3.04663400747556e-22,9.007034928211779e-20
Aech|LOC105143525,172.379871882833,-1.9716593727638,0.20611952901285704,-9.56561167302498,1.11539935352469e-21,3.2084311674495196e-19
Aech|LOC105153820,835.712351883358,-1.8030072660989696,0.189467047714909,-9.51620499630074,1.79618955472408e-21,5.03074879761274e-19
Aech|LOC105143935,4562.08521505105,-3.56250196475034,0.376935586757405,-9.451222144867831,3.34897322548486e-21,9.139262061239841e-19
Aech|LOC105149146,827.28198839698,-3.4596056820487404,0.3717113433991861,-9.30723730519416,1.31200516773586e-20,3.49091775005319e-18
Aech|LOC105145352,676.9939399954578,-2.281942170033,0.24575332372075606,-9.28549870855835,1.6095164539972198e-20,4.17806917558353e-18
Aech|LOC105144442,1641.62399668751,-2.2555805423826096,0.24300230681043,-9.28213633849256,1.66113922292508e-20,4.20940589275992e-18
Aech|LOC105145778,1475.11684563394,-1.86875378365077,0.20184944327485896,-9.258156739655131,2.0799166606944997e-20,5.14803558599338e-18
Aech|LOC105154904,159592.830289654,-2.96417842381751,0.321046008477173,-9.23287736196312,2.63457651018074e-20,6.3726813176939896e-18
Aech|LOC105146714,190.42537131257998,-2.48028819002078,0.26939999764579503,-9.20671199589931,3.36267423083139e-20,7.95309818638633e-18
Aech|LOC105149353,1192.19451285558,1.39200202145479,0.151623253627002,9.180663177688821,4.28444578805884e-20,9.91290359180658e-18
Aech|LOC105154687,15694.2271261543,-2.63687635506371,0.288392248665016,-9.143367643443812,6.053717047019798e-20,1.37084490492408e-17
Aech|LOC105154581,2808.135742177249,-1.90627587411102,0.21073452690009095,-9.045864017407947,1.48486177964115e-19,3.29237165015015e-17
Aech|LOC105146601,71.83776473322891,3.71436668301137,0.411719347762616,9.02159857970277,1.8536433936678198e-19,4.02618910996053e-17
Aech|LOC105152301,148.461320855594,-3.16017743300813,0.3520454349874461,-8.97661812635298,2.7921697093363196e-19,5.94341244329329e-17
Aech|LOC105150434,844.68286176957,-4.43780635166767,0.495209267188531,-8.961476785082368,3.20358653786226e-19,6.68544539656236e-17
Aech|LOC105150839,1770.23382417943,-1.82265710035609,0.20376340780665805,-8.94496769550266,3.72058560709205e-19,7.61503704159245e-17
Aech|LOC105150087,3159.56814932604,-2.50636199230693,0.282155941054699,-8.88289639742529,6.51416264607549e-19,1.30811760456946e-16
Aech|LOC105145878,358.34382059681604,-2.63171232066483,0.304738991726948,-8.63595533263068,5.8238266031544086e-18,1.1478330840254099e-15
Aech|LOC105147893,504.664598578739,-1.26858042152716,0.14721637764478,-8.61711476550612,6.86623055917674e-18,1.3049516400235401e-15
Aech|LOC105152599,10430.151731218,-1.41511644252879,0.164221121770411,-8.61714027570207,6.86470155003701e-18,1.3049516400235401e-15
Aech|LOC105153975,595.293416450868,-1.13152458833683,0.131737546783408,-8.589233790706531,8.75512075927811e-18,1.63475000422802e-15
Aech|LOC105144037,82.7394612286658,-2.0849743676828503,0.245501155409212,-8.49272731204676,2.01843506273766e-17,3.70382834012361e-15
Aech|LOC105150322,129.64222421773002,-1.89850693175952,0.22364453370044,-8.488948512832732,2.08515071488332e-17,3.7613998404242604e-15
Aech|LOC105149674,322.847689727564,-2.60687368464579,0.307786572766174,-8.4697446715008,2.45931517490476e-17,4.36241523441856e-15
Aech|LOC105151255,153.975087943496,-3.70241159559219,0.437822776917266,-8.45641613636704,2.75720395783729e-17,4.81064290545284e-15
Aech|LOC105143220,360.94052181124397,-2.55551632311873,0.302361272423037,-8.45186389989548,2.8668868055132e-17,4.9213348824317716e-15
Aech|LOC105144596,395.777143591781,-2.15939418546236,0.2556409435267989,-8.4469809713247,2.989324289945469e-17,4.97115287779525e-15
Aech|LOC105153849,2172.94469910627,-2.93302342491459,0.34721554562629103,-8.44726989289649,2.98193825214357e-17,4.97115287779525e-15
Aech|LOC105147033,6708.13804814289,-2.47637529503606,0.294473367532784,-8.40950513040998,4.11744219220011e-17,6.74183650024396e-15
Aech|LOC105146733,1035.95850796673,-2.7136485747185,0.32623253664758,-8.31814203023525,8.93529014174062e-17,1.4258529508903097e-14
Aech|LOC105152324,305.96317883608,-1.21030140911388,0.145510851877202,-8.31760238841333,8.97605446863207e-17,1.4258529508903097e-14
Aech|LOC105143825,301.534857827458,-2.67345301406745,0.324068238038469,-8.249660720376099,1.5884484676723603e-16,2.48615544727013e-14
Aech|LOC105151790,287.11088884772096,-1.5778042503588603,0.192232950107717,-8.2077721299847,2.2533033364349603e-16,3.4756387550256895e-14
Aech|LOC105144794,2424.6193643885604,-3.22072429687024,0.393993155379934,-8.17456915911254,2.9692497311898705e-16,4.51453212700768e-14
Aech|LOC105149535,4550.6854240641,-2.0121611802513,0.246210279537758,-8.17253115519379,3.01985680148693e-16,4.52680787862329e-14
Aech|LOC105146943,252.366590298792,-2.8272316282526404,0.34681661339380504,-8.15194981747417,3.5810290525079e-16,5.29345725081133e-14
Aech|LOC105146683,104.811955492193,-2.7326963855996604,0.336357175912411,-8.12438854080302,4.496232847294661e-16,6.55526112243248e-14
Aech|LOC105146105,318.528714030089,-3.5471399486505897,0.4367825838118549,-8.1210654456372,4.62108743447399e-16,6.64624777906847e-14
Aech|LOC105147062,2310.8140286961802,-1.42050367228093,0.175264562408695,-8.10491095723332,5.27841601441578e-16,7.490424218856952e-14
Aech|LOC105153193,397.048891923989,-4.23736892080704,0.525465405852821,-8.064030236072089,7.38194886322813e-16,1.03376423357022e-13
Aech|LOC105149176,1490.31206233632,-1.94492763327634,0.241769965807848,-8.04453781832484,8.657152359405719e-16,1.19659834495007e-13
Aech|LOC105151463,10033.8925921269,-2.89309422209357,0.36284485097339503,-7.97336441272997,1.5441200315535e-15,2.10693198664409e-13
Aech|LOC105149479,53.305768354471,-2.40725059122475,0.302339290887906,-7.9620832084218085,1.69166647571261e-15,2.27903877227966e-13
Aech|LOC105147027,4127.444527478499,-2.05591296281833,0.25909131521508,-7.9350902252807805,2.10342354944942e-15,2.76379467120867e-13
Aech|LOC105148163,58.8831632818088,-2.8046960076485403,0.35344232118054,-7.93537117536044,2.098667279036e-15,2.76379467120867e-13
Aech|LOC105146513,454.98886357955706,-1.93618018274562,0.244080075151083,-7.93256140038118,2.14671522050438e-15,2.7862792794912295e-13
Aech|LOC105147701,3115.8119926748805,-1.80232454815499,0.22759513092016895,-7.9189943162148095,2.3943929312789894e-15,3.070304092482211e-13
Aech|LOC105146617,1548.0273833712101,0.974992979845672,0.123174805968588,7.91552275791133,2.4621635139635807e-15,3.11961979513266e-13
Aech|LOC105143625,4946.9392684698405,1.32103629541817,0.16739253786205702,7.8918469860753,2.9774665768014996e-15,3.696136951697911e-13
Aech|LOC105150379,593.863535303294,1.55327135405871,0.196865309071278,7.89002065110577,3.02136535561137e-15,3.696136951697911e-13
Aech|LOC105154426,54.966315518428296,-2.89864721727226,0.3673573893664829,-7.89053739267654,3.00888043194636e-15,3.696136951697911e-13
Aech|LOC105144251,1387.48283101648,-2.5560288789581604,0.327313198153627,-7.80912255716148,5.75874822827114e-15,6.96481334016929e-13
Aech|LOC105147300,4928.16514102587,1.6706121171128,0.214562179442621,7.7861444242067,6.90849765842449e-15,8.26147646950695e-13
Aech|LOC105149903,2117.2051441619,1.32178338989712,0.169804930154898,7.78412846253273,7.019540574103691e-15,8.30099670335395e-13
Aech|LOC105153591,10627.0474161647,-2.52288211443463,0.32431841544408097,-7.77902824599126,7.30837446287734e-15,8.54758564927511e-13
Aech|LOC105148833,4945.043461802489,1.20101307389563,0.154520161482101,7.7725331269133795,7.693187617485759e-15,8.899847370967491e-13
Aech|LOC105149330,86.1526618685372,2.7077298097772204,0.348971206044136,7.759178301474988,8.54814021678473e-15,9.7825651964774e-13
Aech|LOC105150429,10449.834859123399,-2.577696437071089,0.333086047600796,-7.7388304182601715,1.0033550158039e-14,1.13603270565968e-12
Aech|LOC105151303,4196.11823307606,1.08831147557451,0.14078933940202598,7.73007018995113,1.0748730212050199e-14,1.2041972173352601e-12
Aech|LOC105150457,12014.108924459299,-4.06767771258311,0.526320931081711,-7.728512153645671,1.0881079721773198e-14,1.20632636957117e-12
Aech|LOC105145845,5701.7780338988505,1.23319979327642,0.15963520138790102,7.72511189609018,1.1175513014890901e-14,1.22619572182973e-12
Aech|LOC105148388,972.539266392658,-1.61466839242184,0.21071610579645306,-7.6627668602682615,1.8196950050911597e-14,1.9762259121617494e-12
Aech|LOC105151712,15304.6660608458,-1.7985778137176,0.234961383541179,-7.65478048609797,1.93642726604754e-14,2.08175711035798e-12
Aech|LOC105145011,875.2437564104649,2.75361105706128,0.3611052840442021,7.62550751465662,2.43076150804445e-14,2.5748770105862796e-12
Aech|LOC105154380,230.97115024148601,-1.52989438143442,0.200646284885573,-7.62483283608715,2.44350820322479e-14,2.5748770105862796e-12
Aech|LOC105153713,384.576348431531,-2.70588183306538,0.355850912378008,-7.603976100505309,2.87168308348292e-14,2.9964042213243798e-12
Aech|LOC105144184,623.184642986508,-2.20970999347564,0.290911948137936,-7.595803498685808,3.0588840517006304e-14,3.16074786041261e-12
Aech|LOC105149621,13.822753796507401,-3.51437001041193,0.463054188729147,-7.5895437206974,3.21033940524857e-14,3.2853502201981298e-12
Aech|LOC105152167,79.018338369743,-2.05171947539177,0.271359021731334,-7.56090386198081,4.0027802136929705e-14,4.05729426803184e-12
Aech|LOC105151254,222.71610881064998,-1.9449818362855904,0.258397052492691,-7.5271053501688385,5.1877513259676496e-14,5.208795977572992e-12
Aech|LOC105149876,632.604428035697,-1.9507607013508,0.26163714159499,-7.4559777310614095,8.920381236732928e-14,8.872861448836322e-12
Aech|LOC105146046,3657.3413414127294,1.11527545563218,0.150358622017149,7.41743599848217,1.1940935766004305e-13,1.1767349940517e-11
Aech|LOC105149841,42.2674171980846,-3.60273369031016,0.4860205379680879,-7.41271902906028,1.2373585836280098e-13,1.20818416564706e-11
Aech|LOC105149658,4678.22628603432,1.34036430109996,0.181152888933022,7.39907770168401,1.3713359650560602e-13,1.3268298796447e-11
Aech|LOC105146517,2752.47589045871,-2.11243921941823,0.28657440644361304,-7.37134640051633,1.68913304735516e-13,1.61958946153162e-11
Aech|LOC105146186,3044.10120480049,-1.6694757369513602,0.226620982248088,-7.3668189078968,1.7474760295209198e-13,1.66057030198136e-11
Aech|LOC105152677,11.175218271387301,-3.8327991141263102,0.52066623761826,-7.3613359907089295,1.82078628307574e-13,1.71492286821018e-11
Aech|LOC105147051,17.274848819395498,-3.44268239208398,0.467871655222134,-7.3581768710683715,1.86438915410466e-13,1.74058717255578e-11
Aech|LOC105154080,2647.4981821671104,-1.78206036107799,0.243415104057244,-7.32107552643448,2.45991333596213e-13,2.2765963160560803e-11
Aech|LOC105143138,39.2545519077141,-3.03063998585777,0.4153296465174821,-7.29695077457034,2.94362426493562e-13,2.7007752630784396e-11
Aech|LOC105153036,653.023975966123,1.31208423894044,0.180014583879134,7.288766335850919,3.12806020324519e-13,2.8454653626614198e-11
Aech|LOC105144565,3101.27795297823,-1.6565083579409,0.227828573010596,-7.27085429211661,3.572210967267029e-13,3.221952654629069e-11
Aech|LOC105153409,594.57171738959,-1.86094393199216,0.256976408783274,-7.24169172105451,4.431221844363e-13,3.96315076382818e-11
Aech|LOC105149847,15.8196243351249,-3.0545308553349,0.422903938478704,-7.22275339010283,5.09453542523295e-13,4.51842837756286e-11
Aech|LOC105149753,867.863785382081,0.9716148280244158,0.13464723684038798,7.21600272552328,5.35379845511432e-13,4.7091303270894e-11
Aech|LOC105148319,12.777291797053499,-3.4694796409197,0.481243947032419,-7.20939902166911,5.6199354782787e-13,4.9027027291245997e-11
Aech|LOC105150965,171.322226920542,2.49314439856135,0.34713830023617404,7.1819917216428,6.87030827169701e-13,5.94477162078628e-11
Aech|LOC105144499,3840.56659114038,1.14366303457144,0.15934391144120902,7.17732497104792,7.10885775474629e-13,6.10157847449715e-11
Aech|LOC105148337,2276.4140498071,-1.9464835540432,0.271432898982917,-7.17114086515247,7.437532527794129e-13,6.33261269546504e-11
Aech|LOC105149177,1099.59054826387,-1.77568964043581,0.24807862403277,-7.157769627911379,8.2000200878029e-13,6.9264137932132e-11
Aech|LOC105154074,535.312845541141,-1.54626393883199,0.216084365227498,-7.15583442237504,8.316547742046542e-13,6.96952894634656e-11
Aech|LOC105154285,851.944484523351,-2.18664644463644,0.3058406992128,-7.14962544312979,8.70149995101097e-13,7.23516124832888e-11
Aech|LOC105150088,320.442175508403,-1.6745646886216203,0.2343100216443,-7.146790721413269,8.883014535949009e-13,7.328831295046929e-11
Aech|LOC105147278,454.25905064664,-1.72644026476231,0.241787036317276,-7.14033428366627,9.310421600555341e-13,7.622370545746957e-11
Aech|LOC105144552,2862.34220150259,-1.9889372720925305,0.2786166239235789,-7.13861665568837,9.427484367963752e-13,7.6592913074991e-11
Aech|LOC105144851,965.46944707803,1.2942307691660502,0.181628844887695,7.12568958948287,1.0356087304605e-12,8.349987665372071e-11
Aech|LOC105146014,46.633271893608395,-2.9139715819505,0.4094161101769721,-7.11738378025946,1.09994898412853e-12,8.7363858493134e-11
Aech|LOC105149533,301.43117390111,-1.61903814015403,0.22744973087897896,-7.11822403085402,1.0932656973417299e-12,8.7363858493134e-11
Aech|LOC105145810,624.434403389362,1.25158864348111,0.176062440687993,7.10877708266637,1.1707566246658897e-12,9.22989833801416e-11
Aech|LOC105151159,5364.13397454161,-2.39210417023636,0.337256080986571,-7.092842220187019,1.31385224004938e-12,1.028185984621e-10
Aech|LOC105148773,3340.56851985751,-1.5852846793864095,0.223576591814808,-7.09056644310746,1.33564170958385e-12,1.03760837336503e-10
Aech|LOC105144332,115.66391451135,-2.15661868280539,0.304769461196079,-7.07622960102911,1.48129363405966e-12,1.1342020249853998e-10
Aech|LOC105152503,791.03001043485,2.1554481705521296,0.30457665916780896,7.07686589130445,1.47451099561553e-12,1.1342020249853998e-10
Aech|LOC105147485,1022.2819934901801,1.30614798561302,0.184638429355098,7.07408522795125,1.5043781059967299e-12,1.14364972729452e-10
Aech|LOC105146073,5593.71859023975,0.7886866584342759,0.11161281495813,7.066273337252031,1.59149787257524e-12,1.20129871332045e-10
Aech|LOC105147782,120.12856005538,-2.3167399453941298,0.32813586495506203,-7.06030700335486,1.6613514229375302e-12,1.24519459114958e-10
Aech|LOC105151745,3571.9581997886103,-1.67044681853279,0.237160651353268,-7.043524332561129,1.87437250271705e-12,1.38534351016789e-10
Aech|LOC105154865,1442.87769945522,-2.35349249259446,0.33412996713409804,-7.0436438634368805,1.8727644712285402e-12,1.38534351016789e-10
Aech|LOC105148335,1417.7245400538,0.825839407198352,0.117387089909306,7.03518085196935,1.9900271527893998e-12,1.46067993014742e-10
Aech|LOC105143519,3503.7264910222802,-2.08575301565942,0.298403901893842,-6.989697528825968,2.75479507026156e-12,2.00817013238314e-10
