,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Cpla|SGF53853,448.115202510386,4.81422626250406,0.24294760832119505,19.8159030902633,2.170784538984159e-87,3.0762187701944484e-83
Cpla|SGF65151,324.993526930916,-6.92915701323359,0.449572409698916,-15.412771922267499,1.3432428550505893e-53,9.517547249460979e-50
Cpla|SGF53725,68.2345034615278,-6.65694444062596,0.555969648392345,-11.9735752839662,4.88761534917555e-33,2.3087465704388886e-29
Cpla|SGF50282,60.548504157382,-6.3245854391157685,0.5412104481211379,-11.686000263062502,1.50299635939341e-31,5.324740352241008e-28
Cpla|SGF60176,430.178206869773,5.07153781299383,0.4383122140022701,11.570605725734,5.80712359299605e-31,1.6458549687269398e-27
Cpla|SGF49156,860.876102573735,0.736693418954853,0.0655527688712785,11.2381739419954,2.648030772323109e-29,6.25420734576514e-26
Cpla|SGF48392,661.9485764116798,-3.049548465677669,0.274202367982633,-11.121524909189803,9.857259479925947e-29,1.99553177271472e-25
Cpla|SGF63043,1375.85726726204,0.7689692050743079,0.0729629836952932,10.5391688515051,5.700041821664638e-26,1.00969115818512e-22
Cpla|SGF61928,32.8921335935504,-5.52279001899604,0.527417395102228,-10.4713838987536,1.1692103490675399e-25,1.84098665073735e-22
Cpla|SGF59009,848.8376229853592,-3.1875293063941004,0.306336201614111,-10.4053301229131,2.34442073084995e-25,3.32227861768746e-22
Cpla|SGF55546,264.162753841925,-3.28918232562176,0.31779047895907103,-10.3501600689723,4.17786718954191e-25,5.3822323584544015e-22
Cpla|SGF64627,1908.7187288328696,-0.7584244735101129,0.0735498816600102,-10.3117021590325,6.23864366069425e-25,7.367318276308189e-22
Cpla|SGF47263,9005.14200213258,1.00657308661689,0.0985206367144651,10.2168755723145,1.66625092122281e-24,1.81634167728065e-21
Cpla|SGF63964,288.540700182826,-1.06751908594039,0.10477538311988903,-10.1886440703242,2.2285065456491697e-24,2.25572616131388e-21
Cpla|SGF61383,104.500696030588,-2.3873841383435,0.23475776084542105,-10.16956427658,2.7111874660061497e-24,2.56134917205154e-21
Cpla|SGF61105,1088.5375092459199,-4.03040321323935,0.397478426806584,-10.139929468928301,3.67364726569666e-24,3.25370346263671e-21
Cpla|SGF56698,229.37581314976399,1.97887889586285,0.195856264510362,10.1037304107173,5.3179898830704595e-24,4.43301380194068e-21
Cpla|SGF57342,177.910443342993,2.2677231415111403,0.22606833227558495,10.0311402251011,1.1122466584544498e-23,8.75647077608778e-21
Cpla|SGF56928,1581.40406793585,0.642109302703953,0.0644880912277838,9.9570213736968,2.34997927862072e-23,1.7527134924912695e-20
Cpla|SGF56575,379.154347705611,-0.973820385566797,0.0981729344609547,-9.91943849813417,3.4267848345833996e-23,2.4280483945440697e-20
Cpla|SGF63972,251.08136209264597,1.87152930319973,0.191005420780476,9.79830465309508,1.14491063840904e-22,7.725966027092638e-20
Cpla|SGF46864,1127.96277652657,-0.7875769680596049,0.0804393939427367,-9.79093612540475,1.23150364740468e-22,7.932562812441658e-20
Cpla|SGF63993,1015.87292082384,-3.8239438631940095,0.393863636689056,-9.70880149114375,2.76569913355553e-22,1.7040314096354498e-19
Cpla|SGF55795,1092.34500823085,1.2397110296953502,0.127879993589343,9.694331340650448,3.1871846651408893e-22,1.8818997454046495e-19
Cpla|SGF61043,101.757221340828,-1.53235397394242,0.159319108937572,-9.61814300971805,6.70303128508112e-22,3.7995462536353796e-19
Cpla|SGF51973,43.7356654904224,-3.65301286597952,0.380887231528772,-9.59079896513563,8.74055183583993e-22,4.76393692560337e-19
Cpla|SGF65632,3091.3541904367103,-0.654638480240453,0.0684818493484176,-9.559299091206269,1.18556887487137e-21,6.22248019474152e-19
Cpla|SGF49410,351.204307333169,-2.66037759085475,0.28053527899361,-9.48321936691373,2.4655644480485e-21,1.24783977833198e-18
Cpla|SGF51731,1755.6165709059399,-0.77800002384169,0.0821347938118722,-9.47223445430058,2.7392038592971997e-21,1.3385261341414e-18
Cpla|SGF47069,1497.88603324073,-0.573760469784253,0.0608202740692329,-9.43370411536013,3.9585703175405994e-21,1.8698966656622597e-18
Cpla|SGF54646,1570.3794903839498,-3.71466229740681,0.395066195655524,-9.40263261766337,5.3214622296202796e-21,2.43259487922416e-18
Cpla|SGF60878,78.6668280885325,-3.02586715394557,0.32414763161183896,-9.33484270392261,1.01141317240102e-20,4.47898002065465e-18
Cpla|SGF56601,1612.88861811457,2.93989939025771,0.31590631569890304,9.30623809705593,1.32440197021354e-20,5.6873031272412486e-18
Cpla|SGF53378,2683.60982750794,-2.70721990732533,0.29668880235642103,-9.12477951922523,7.18824249471317e-20,2.996017188017069e-17
Cpla|SGF57677,256.286855557661,-3.62147986907823,0.397810640311446,-9.103526909795509,8.744500904917428e-20,3.54052349495957e-17
Cpla|SGF57606,630.2601075115921,-2.2852694333542702,0.251660685385504,-9.08075661422282,1.07822683372844e-19,4.24432012799049e-17
