,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Dqua|LOC106751227,300.153820550378,4.5577188476242805,0.3784438704147221,12.043315281153,2.1032965097249e-33,2.1335839794649296e-29
Dqua|LOC106748522,92.91079656330879,4.4679354488635585,0.37564579629365297,11.894011574059697,1.2714944300324e-32,6.449019749124318e-29
Dqua|LOC106745803,4501.59277022305,-1.89129985259194,0.23746722755691,-7.964466811062079,1.65937709406195e-15,4.833160340012732e-12
Dqua|LOC106750236,340.535160891237,-3.13766261266632,0.394807389084464,-7.947324947343018,1.90582032334887e-15,4.833160340012732e-12
Dqua|LOC106748393,260.116158873983,-2.19479756689577,0.290329337744758,-7.55968233849422,4.04054912829028e-14,8.19746607147532e-11
Dqua|LOC106742409,407.693407198877,2.73135169231866,0.390412640691605,6.99606367119709,2.6325393646395407e-12,4.45074655248392e-09
Dqua|LOC106750821,44.206810121368704,2.75840042064948,0.397565758812605,6.93822433020363,3.97058870886991e-12,5.7539502661109e-09
Dqua|LOC106751225,4038.86349113471,2.6029606432055097,0.396922361102567,6.55785840831702,5.4585999624209993e-11,6.92150475234982e-08
Dqua|LOC106749247,116.417847383535,-2.16876275467794,0.333192797991171,-6.50903251136722,7.56363533982219e-11,8.52505743190626e-08
Dqua|LOC106744681,21.665825635721607,2.45279590988792,0.38334616636572494,6.39838382405491,1.5703015212377895e-10,1.59291386314361e-07
Dqua|LOC106740552,1461.7119300996899,2.50789635447059,0.39357161885561,6.372147366120571,1.86399645483244e-10,1.71894363980184e-07
Dqua|LOC106746974,153.232638839003,-1.98566988754896,0.324410157818172,-6.1208622470505585,9.30703396296762e-10,7.86754604336196e-07
Dqua|LOC106743574,415.80403422053496,2.1382801440320303,0.350321005894995,6.10377370483163,1.03592930235475e-09,8.083436033143509e-07
Dqua|LOC106750234,750.784685077715,1.89744449302845,0.316263403718508,5.999570202302902,1.97840483086358e-09,1.43349561459144e-06
Dqua|LOC106747468,4344.34996430787,-1.32495661416325,0.22260205223152696,-5.952131172560638,2.64673103542545e-09,1.71795426822438e-06
Dqua|LOC106750972,48.8645741598865,2.36911280239325,0.398285188778459,5.94828245976037,2.7097070476725198e-09,1.71795426822438e-06
Dqua|LOC106750125,2132.55253167854,-2.18857175279515,0.370095115589925,-5.91353860292539,3.3483500674690304e-09,1.99798018143564e-06
Dqua|LOC106751012,1311.9756250913902,2.24576877742842,0.3869243008288279,5.804155419077518,6.46912508805775e-09,3.64571138295877e-06
Dqua|LOC106751228,390.19474547028295,2.27242930651955,0.397731817285748,5.7134712581642315,1.10694577190026e-08,5.86077127650907e-06
Dqua|LOC106751465,145.790938329919,1.97001925083269,0.34524413693305106,5.70616279926777,1.15551484158302e-08,5.86077127650907e-06
Dqua|LOC106742753,3984.3174036432106,-1.10962738664618,0.19513834529002105,-5.68636259058678,1.29773711859825e-08,6.268688252886e-06
Dqua|LOC106743430,4411.76640760847,-1.5310850465006798,0.27099062568850896,-5.64995575994791,1.60489134837368e-08,7.4000081081375705e-06
Dqua|LOC106743713,454.47084020575994,0.7629339365301959,0.135571542670464,5.62753747211296,1.82800460526251e-08,8.06229509381863e-06
