,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Orug|SGF82787,2400.88771120007,-2.55706661985784,0.168923199321822,-15.1374508067792,9.169985279760067e-52,1.38760217253329e-47
Orug|SGF63944,600.445548604592,-3.01051922760228,0.215700460789897,-13.9569438868036,2.85412398578825e-44,2.159430207647389e-40
Orug|SGF61220,2092.49062542814,-2.9578650868526,0.213545883291867,-13.851192264895596,1.2511795331235199e-43,6.310949565075049e-40
Orug|SGF64259,761.007066181713,-3.7512972278656,0.27495539049813394,-13.643293994234499,2.2133272461624e-42,8.37301697223235e-39
Orug|SGF68061,194.64382679306095,-2.37713004361225,0.17582557868417004,-13.5198192515676,1.19468965692305e-41,3.03104094272361e-38
Orug|SGF75484,601.197974124868,-1.93833200144992,0.143374323923785,-13.519380237707601,1.2018401834748698e-41,3.03104094272361e-38
Orug|SGF83692,95.258402995159,-3.8521935563694,0.294667470225751,-13.0730194052915,4.6963731751629494e-39,1.01522169837951e-35
Orug|SGF71593,1106.9390981729302,-2.99568693097591,0.22948311568480104,-13.054062483143802,6.02471200442035e-39,1.13957427563611e-35
Orug|SGF64679,815.039506361425,-1.93079905561057,0.14831746982812302,-13.018015058159099,9.665075234362629e-39,1.62502131607084e-35
Orug|SGF69055,317.540990862485,-2.45552732343136,0.190708867678186,-12.875789958414302,6.16055174812861e-38,9.322146905268207e-35
Orug|SGF70592,431.875387907001,-2.7133611473774804,0.211968082645745,-12.8008005427507,1.62269732254148e-37,2.23224144406343e-34
Orug|SGF76534,868.922219124526,-2.65769771213982,0.210140203422372,-12.647259633598,1.1584539460712298e-36,1.4608104259958199e-33
Orug|SGF67557,2069.48447521911,-3.57582018309505,0.285499512228094,-12.524785612376899,5.4638790537012895e-36,6.3599552185083e-33
Orug|SGF69517,383.12383648579805,-2.88507590906623,0.231256548584993,-12.4756506430601,1.0137473254353099e-35,1.09571603774908e-32
Orug|SGF75054,3244.67882352206,-0.7749259092914929,0.0644144078125882,-12.0303195450638,2.4620600898527893e-33,2.4837262186434896e-30
Orug|SGF71800,9082.265554630709,7.52453319430743,0.626182220753651,12.0165232178761,2.90958247641632e-33,2.7517376270707398e-30
Orug|SGF70161,568.4622173193329,-3.22289652445454,0.268391047802259,-12.0082117151279,3.2172696193689396e-33,2.8637484635465198e-30
Orug|SGF76381,841.110510179024,-3.05380893707284,0.267069496297543,-11.4345104154859,2.81117883872233e-30,2.3632643437525694e-27
Orug|SGF81334,762.3558094187608,-2.82356506207888,0.2487901943698,-11.349181462843196,7.486020541671539e-30,5.96202435981967e-27
Orug|SGF72263,323.432768522259,-2.93497551536293,0.260353550573637,-11.273038177878899,1.78308984392994e-29,1.34908577591739e-26
Orug|SGF74244,64.98587680742,-4.538604987326218,0.403034935654335,-11.261070904331698,2.04261262639751e-29,1.47184829822129e-26
Orug|SGF68394,313.391422308217,-2.92932210285672,0.26072082203881697,-11.2354743282475,2.73023566050536e-29,1.8779057279439602e-26
Orug|SGF85599,297.386955837335,-1.17885197808903,0.104986141513956,-11.228643715154801,2.94971522952551e-29,1.9406561240513e-26
Orug|SGF60686,1450.43757440444,-1.7725148047875698,0.15873928703791698,-11.166201120483699,5.96790336898152e-29,3.762763074142849e-26
Orug|SGF71647,77.46760912323491,-3.90841587363761,0.352060578451915,-11.1015436344045,1.2329577340131598e-28,7.462846572434869e-26
Orug|SGF85612,510.31844049662993,-3.16916587321473,0.28571736436941897,-11.091961037121804,1.3724558346648797e-28,7.98769295774963e-26
Orug|SGF64861,777.395826925217,-4.57788587960524,0.413664160745946,-11.066672711868696,1.82034456856028e-28,1.0202020004242299e-25
Orug|SGF61394,644.128748462723,-2.16491170656388,0.19806748165800306,-10.930172325318804,8.269124055006297e-28,4.4688709000126895e-25
Orug|SGF83185,258.563704978168,-3.0812525028938995,0.28636488109547703,-10.7598826053904,5.32379426166586e-27,2.7779191299147498e-24
Orug|SGF68669,513.209501285119,-1.92166616018866,0.17877915677084,-10.7488266244138,6.0020266588936384e-27,3.02742224674595e-24
Orug|SGF64218,3150.21961695211,-0.7946504721239309,0.0744052530247994,-10.6800318501581,1.2622834424563399e-26,6.1615719520159396e-24
Orug|SGF83928,353.757804004199,-3.0015522819754903,0.285679016916193,-10.506729945994,8.0434318446074e-26,3.80353783351872e-23
Orug|SGF72878,345.505274931593,-4.58974541625195,0.438830639173374,-10.4590359162197,1.33204068822968e-25,6.108012028573179e-23
Orug|SGF85510,835.775211449057,-2.40583500311326,0.231530063462567,-10.3910264055286,2.72405671186528e-25,1.21236547541016e-22
Orug|SGF85922,158.89998399740298,-3.6682705434664906,0.356776418163759,-10.281706852561001,8.520509813396479e-25,3.68378155703759e-22
Orug|SGF71170,67.6515870666054,-3.86194874900277,0.375735137724882,-10.2783805964683,8.819700798255707e-25,3.7072142355334797e-22
Orug|SGF60432,1778.63404925158,-2.43252575269488,0.23758554153541,-10.2385260356104,1.33250882786891e-24,5.4496009684628e-22
Orug|SGF79973,1298.53790874695,-2.14200696721518,0.20999625120959,-10.2002152651635,1.97833529097261e-24,7.877939374473039e-22
Orug|SGF81900,98.73444652328051,-3.1198579470823504,0.307416824706763,-10.148624591573,3.36066206604086e-24,1.3039368816238496e-21
Orug|SGF85118,1230.85835289483,-1.72379679766417,0.170042027426949,-10.137474974560199,3.76710935021702e-24,1.4250974671871e-21
Orug|SGF76088,288.065115449001,-3.96342060563786,0.39143708337182,-10.125306911387,4.26638152916581e-24,1.5746069585204098e-21
Orug|SGF60340,1186.0628799711099,-1.76757974982268,0.174931656686464,-10.1044018178526,5.2816906290714e-24,1.90291768093115e-21
Orug|SGF65460,77.1461924654771,-2.8507913301088,0.285048768599818,-10.0010652356511,1.50766448983431e-23,5.3055765256215784e-21
Orug|SGF66772,372.8230819580529,-3.08914468498006,0.30909921506953697,-9.99402306565259,1.6187546452395e-23,5.5670443844918505e-21
Orug|SGF77522,3582.03782903635,-1.15517150474897,0.11605214627130303,-9.95390039619303,2.4248865632703197e-23,8.154085216757e-21
Orug|SGF67267,3554.68834259579,-2.5092094581112403,0.25252785461297306,-9.936367067137539,2.8918171685341395e-23,9.512821172664907e-21
Orug|SGF78226,342.188895923046,-4.134752580067,0.418113896654348,-9.8890580130255,4.643768307471029e-23,1.4950957878436498e-20
Orug|SGF65291,2301.03192324544,-1.19075315696648,0.120510002071619,-9.88094877186057,5.035387150089228e-23,1.5874057990656298e-20
Orug|SGF72525,7960.0756618552405,-0.617377481218679,0.0627457948284557,-9.83934434023127,7.620584109897309e-23,2.35336079083604e-20
Orug|SGF70590,1771.68100663635,-3.92872489276722,0.399815165533887,-9.8263528536269,8.670197410644199e-23,2.6239485443573598e-20
Orug|SGF77887,408.247205903627,-2.9517529400483595,0.30157885573215504,-9.78766542794347,1.27198823572351e-22,3.77406391822906e-20
Orug|SGF61474,1242.30849639492,-1.483272757412,0.151897273464385,-9.764972889785133,1.59154569059182e-22,4.6313979596222e-20
Orug|SGF65235,111.204043618875,-1.9105123144973304,0.195882336429376,-9.75336699226148,1.78449431495362e-22,5.094899617712848e-20
Orug|SGF70037,86.55123680189828,-4.18865020532958,0.429959267316794,-9.74196981837208,1.9964622976462898e-22,5.59453101629326e-20
Orug|SGF73781,245.421699402034,-2.9189086652369203,0.299901401706344,-9.732894373381571,2.1829160327418596e-22,5.935505372346889e-20
Orug|SGF80110,1207.19627929458,-2.53199979976447,0.260165675604102,-9.732259237830599,2.1965919961103997e-22,5.935505372346889e-20
Orug|SGF70778,974.511683150732,-2.56209932491001,0.263580693789701,-9.7203603498904,2.4690614883868597e-22,6.55470849864386e-20
Orug|SGF75596,767.5982578966922,-1.32896432356795,0.138107884503655,-9.62265353889175,6.41543971825838e-22,1.6737661002876898e-19
Orug|SGF66572,2084.20026380854,-0.85401663709387,0.0889661322073197,-9.59934545770448,8.04537001046051e-22,2.0634328643777695e-19
Orug|SGF75116,680.6368946440721,-2.47735136296654,0.25834904728574204,-9.58916391987509,8.880166925778708e-22,2.23957809868139e-19
Orug|SGF82205,928.7756626662821,-1.36007572024111,0.141981656647996,-9.579235461472633,9.77659422945345e-22,2.42523645705065e-19
Orug|SGF82249,102.838139195023,-3.31295729637366,0.3469024163290711,-9.55011305897332,1.29554827183538e-21,3.161973620873049e-19
Orug|SGF64306,842.898138455778,-1.68061855242095,0.17763900108372302,-9.46086468719144,3.0540708506537103e-21,7.220968767514359e-19
Orug|SGF78502,63.2148639935454,-2.8038071693618702,0.29634534689727304,-9.461282921151438,3.04187832404197e-21,7.220968767514359e-19
Orug|SGF73555,99.7820446563858,-2.72140373912819,0.28822659623949604,-9.441889730630198,3.66115948147183e-21,8.523179272866409e-19
Orug|SGF61279,546.128617478878,-2.94602368992266,0.31357199357625604,-9.39504723085618,5.7192157922501495e-21,1.31126020255044e-18
Orug|SGF66827,214.36147851915,-2.8017511906349903,0.298324365496872,-9.391627083388109,5.908042614979589e-21,1.33433583358017e-18
Orug|SGF72882,196.568771411884,-4.6382711875176295,0.49481860522995,-9.373679846500831,7.0046829448502e-21,1.5587479753157799e-18
Orug|SGF72881,354.168877719239,-3.3419199204199503,0.35782267890995706,-9.33959784382733,9.670070834002919e-21,2.12068857768308e-18
Orug|SGF62025,317.167595698014,-3.46374988190472,0.372569279013158,-9.29692832183943,1.4456161632819698e-20,3.12500911182611e-18
Orug|SGF60306,772.042580282039,-4.00131278419204,0.430843768700261,-9.287154822414909,1.58467629500226e-20,3.37736925295411e-18
Orug|SGF80777,2604.23260396504,-1.53112069567094,0.16520292389531502,-9.268121045128538,1.89453819334192e-20,3.98168776967361e-18
Orug|SGF60840,233.93701378863602,-3.80093107656581,0.410977083896923,-9.24852315492881,2.2761575695811e-20,4.7181940195755e-18
Orug|SGF74704,229.26373978639302,-3.1278310245262904,0.339052962823049,-9.22519891430265,2.83035075924429e-20,5.78768482282223e-18
Orug|SGF61126,1007.7497992963999,-1.31381951322137,0.14257830354880802,-9.21472258064583,3.1208425542437e-20,6.2966119374420795e-18
Orug|SGF63935,1747.20625644184,-2.98367394461927,0.323948470290909,-9.210335032420133,3.25108593428415e-20,6.4730832049457586e-18
Orug|SGF76203,1153.5872688784698,-1.71330786310023,0.186323136298776,-9.19535757681145,3.73749437956012e-20,7.34490453915633e-18
Orug|SGF65227,1876.75991304592,-3.74612817063619,0.407551075860522,-9.19180046998144,3.86320145933818e-20,7.49461083111607e-18
Orug|SGF82326,181.626567715702,-3.0961909459878703,0.338012167914261,-9.159998484945769,5.1898045980288e-20,9.94077508574326e-18
Orug|SGF65940,4427.6086894544,-0.536120262306742,0.0586305563143357,-9.14404187864845,6.016077042578758e-20,1.1379409726037699e-17
Orug|SGF68197,117.00960273252701,-3.26783821705531,0.35800091233426506,-9.12801645042773,6.976578081173599e-20,1.30332814227554e-17
Orug|SGF62705,936.904079792465,-3.99460742940284,0.438415090697949,-9.111473382550539,8.127065285957249e-20,1.49974087691592e-17
Orug|SGF66117,1307.27574301483,-1.25747433015442,0.13822681044659502,-9.09718111914514,9.270667503641777e-20,1.6901655501820194e-17
Orug|SGF61585,3618.56064835658,-1.16259328439451,0.12816931118343,-9.07076174210424,1.18187829371168e-19,2.1290693262434695e-17
Orug|SGF81011,637.25759198988,-0.8588681932329371,0.0947385867674138,-9.065663976405787,1.2384762845023801e-19,2.2047791925988295e-17
Orug|SGF82566,1047.57636014262,-2.58014552737194,0.284947205681102,-9.05481954527218,1.36793784712388e-19,2.40693436077658e-17
Orug|SGF71897,1437.3838708947198,-1.69770151259253,0.187642753414617,-9.04751972404325,1.46252475422714e-19,2.54378443459369e-17
Orug|SGF70682,49.6787235289005,-3.6002883498084106,0.403046750878798,-8.93268173470792,4.1580455649169785e-19,7.149948350945878e-17
Orug|SGF79306,710.3114267978099,-1.67335317260912,0.188097318278399,-8.89620962130053,5.77863875534184e-19,9.82498445458794e-17
Orug|SGF74192,75.32799878853379,-4.32158044822234,0.48631219784606,-8.886432352228018,6.3102444626249e-19,1.06096243564933e-16
Orug|SGF69274,232.76909095152402,-3.88476926458395,0.437378475754437,-8.88193973853672,6.570442949759039e-19,1.0925707990742199e-16
Orug|SGF63220,188.719266208539,-3.79101981929731,0.4275666010611379,-8.86650128866176,7.548006913021798e-19,1.24148305008528e-16
Orug|SGF73583,1390.2159163043,-1.95652042439795,0.22094136393764605,-8.85538311852788,8.33968668705312e-19,1.3569477306289e-16
Orug|SGF81333,132.027881866753,-2.6219057055301698,0.29698770563556104,-8.828330788708,1.06249431839049e-18,1.71038978998775e-16
Orug|SGF71645,229.12869376723802,-3.68598944633415,0.419189520571624,-8.79313357191702,1.4544538738185599e-18,2.31671537038131e-16
Orug|SGF74516,4068.544040007621,-0.928494989133869,0.105875362436695,-8.76969832985491,1.7914560321049694e-18,2.82378257060546e-16
Orug|SGF80159,47.0756635492842,-3.47546052327668,0.39670243374737896,-8.7608752244002,1.93740164406208e-18,3.02234656473684e-16
Orug|SGF64709,53.5237505119528,-3.3737544344936903,0.385180072569272,-8.75890180919716,1.97161769448225e-18,3.0443386686638203e-16
Orug|SGF72188,218.31943530219,-2.7758899972377504,0.31734184387827,-8.74731791847332,2.1848350988416995e-18,3.3394873450174304e-16
Orug|SGF70705,3456.1727732594704,-1.8029437203843104,0.207318671933513,-8.696484998526879,3.42322897641318e-18,5.180030087108428e-16
Orug|SGF74440,870.531484465316,-1.3415467809021,0.154653591091421,-8.674527189666541,4.1527221644383395e-18,6.221682355671389e-16
Orug|SGF74042,1785.79086455992,-0.812110509850979,0.0936645540183143,-8.67041452727343,4.30550046106395e-18,6.38733656635487e-16
Orug|SGF81124,73.8752095802624,-3.21827801327721,0.372526863034228,-8.63904950924711,5.66826100715915e-18,8.32739083110022e-16
Orug|SGF68417,712.334351029722,-2.57541232310605,0.29835570050121696,-8.63201982995306,6.02779307463687e-18,8.770438923596638e-16
Orug|SGF79310,1138.4395846560499,-1.4898799761539598,0.17299007514648798,-8.61251707586303,7.14736473769123e-18,1.03003736391185e-15
Orug|SGF84981,201.28412497275002,-1.90534756880119,0.221436959894274,-8.60446950550125,7.66705316176869e-18,1.0945080041875802e-15
Orug|SGF68142,2747.04736889118,-1.67436999466938,0.195062377983458,-8.58376695690326,9.18158826235889e-18,1.29846536061696e-15
Orug|SGF76292,557.324067235107,-3.41994749150859,0.399306133229952,-8.56472567512284,1.08333455073815e-17,1.5178720760897904e-15
