,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Sinv|LOC105202586,897.447272807074,3.72351201877453,0.194904535460481,19.104286157207,2.32586560194896e-81,2.836393101576749e-77
Sinv|LOC105200050,168.916864057939,4.19256630745134,0.24213252635893104,17.3151718626864,3.614416508403828e-67,2.203890465999229e-63
Sinv|LOC105197309,713.997374951056,3.96174588034656,0.229831953405967,17.2375765059468,1.3873196510258892e-66,5.639454381420249e-63
Sinv|LOC105203641,1042.28157441418,-1.43426952368045,0.0912174484907873,-15.7236312504982,1.0417786451383194e-55,3.1761226443654492e-52
Sinv|LOC105195295,72.44048271367579,3.84671566968074,0.245081279646394,15.695673187404699,1.6191583416172192e-55,3.9491271952043986e-52
Sinv|LOC105201780,437.8293005921249,3.8154736310909114,0.249760101941214,15.2765537867571,1.0958457497420096e-52,2.22730648635063e-49
Sinv|LOC105203107,4068.33884977531,-0.6879329906977671,0.0458312338364162,-15.010134642091101,6.301965359868528e-51,1.0978923937656695e-47
Sinv|LOC105196460,3712.339083119629,-1.2674884676741,0.0850520037146974,-14.9025115495906,3.174198336817639e-50,4.3010387463879007e-47
Sinv|LOC105206526,1952.6631961867802,-1.32969282655516,0.0892062844933903,-14.905820078782401,3.020807587426779e-50,4.3010387463879007e-47
Sinv|LOC105203248,313.791864320316,1.59042858879258,0.107112014899384,14.848274400276699,7.138251698277467e-50,8.705097946049367e-47
Sinv|LOC105203961,73.23135387025941,2.4445225973836697,0.166811208256954,14.654426539601399,1.26217767093785e-48,1.3992960633715595e-45
Sinv|LOC105196464,1674.82630746978,-1.00173095532863,0.0686874713725712,-14.5838962377155,3.5562719758416e-48,3.61406139544902e-45
Sinv|LOC105201576,560.086535342048,1.12731025074036,0.0774917785453816,14.5474819639115,6.059266564569691e-48,5.684058134994411e-45
Sinv|LOC105198109,197.74683877693096,1.65390317203845,0.115441238696534,14.3267968250595,1.48828377408449e-46,1.29640147321146e-43
Sinv|LOC105199440,874.548350983457,-0.893639493791179,0.063269229716306,-14.124393449994301,2.68703425443492e-45,2.18455884885559e-42
Sinv|LOC105205566,788.219293213358,-1.19699306637568,0.085680495401612,-13.9704265336585,2.36207774635862e-44,1.8003461323027103e-41
Sinv|LOC105195565,588.8809059176709,-1.25675680089681,0.0919420130831508,-13.6690154887105,1.55484581195567e-42,1.11537321628232e-39
Sinv|LOC105193187,257.272864272154,3.80523434776886,0.27881451545142605,13.6479061773661,2.07762716582495e-42,1.4075924048464e-39
