,Aech,Cpla,Dqua,Hsal,Obir,Orug,Sinv,Dqua_baseMean,Dqua_log2FoldChange,Dqua_lfcSE,Dqua_padj,Orug_baseMean,Orug_log2FoldChange,Orug_lfcSE,Orug_padj,Hsal_baseMean,Hsal_log2FoldChange,Hsal_lfcSE,Hsal_padj,Cpla_baseMean,Cpla_log2FoldChange,Cpla_lfcSE,Cpla_padj,Obir_baseMean,Obir_log2FoldChange,Obir_lfcSE,Obir_padj,Sinv_baseMean,Sinv_log2FoldChange,Sinv_lfcSE,Sinv_padj,Aech_baseMean,Aech_log2FoldChange,Aech_lfcSE,Aech_padj
305,Aech|LOC105153097,Cpla|SGF61405,Dqua|LOC106749891,Hsal|LOC105181067,Obir|LOC105281216,Orug|SGF68562,Sinv|LOC105201217,1510.15712007623,0.0815548868221484,0.22286683660398893,0.8926764518183941,1425.55952286754,0.10445506048845404,0.10519357198012899,0.47153847473550103,410.754490171516,-0.0452283307899907,0.13812894596296302,0.9681182499461808,1284.40960956985,0.143940328483461,0.0541908986339979,0.023885305215105,2227.75413285127,0.4326532674933879,0.145160048257644,0.0416552542760562,391.232256237042,-0.0515177296913904,0.0641141501519257,0.5858764272407659,839.8295501541901,-0.00559132635777458,0.178168420133087,0.988966003413011
331,Aech|LOC105144379,Cpla|SGF47786,Dqua|LOC106743402,Hsal|LOC105181117,Obir|LOC105282301,Orug|SGF65534,Sinv|LOC105194815,1583.7592744080405,0.3856927101759329,0.383800550278956,0.674790614178507,86.9454205379897,0.0376043289949468,0.17861276952868,0.8912917596984509,96.53547108639792,-0.19460319587581,0.178960577767678,0.875791105411414,216.972463243831,0.21558119992353397,0.136350407880343,0.206946602367168,793.9782896935069,-0.0077357429799857,0.171042986163908,0.992220707040405,226.248598220069,0.42366168212359795,0.110277034523274,0.000780647318253816,244.78448711116297,1.4608572838641598,0.26045672767635,6.07277060276252e-07
367,Aech|LOC105154742,Cpla|SGF57622,Dqua|LOC106742675,Hsal|LOC105184475,Obir|LOC105281047,Orug|SGF78634,Sinv|LOC105203057,249.29973146207905,-0.438131711189512,0.234804848707306,0.33308189954924705,478.12127548168,-1.22738409207598,0.253506177928769,1.59332521759479e-05,251.471157077116,-0.18866251290889105,0.178612116302726,0.87876753703612,434.820304923854,-1.92064208893273,0.34420308519492404,4.4620711393519296e-07,2189.0246605091397,-0.10390887193655199,0.20213002070836,0.871456239967196,407.541439101855,0.26006942566679603,0.0929885534725957,0.0190387783782933,306.311466096809,-0.0772847501873787,0.157857642033581,0.783978068168078
413,Aech|LOC105151083,Cpla|SGF65369,Dqua|LOC106742289,Hsal|LOC105180743,Obir|LOC105287676,Orug|SGF86030,Sinv|LOC105198509,902.4599924905208,0.18541780097201602,0.298871249124122,0.8107744519295379,14.873051244347801,0.3725483133491621,0.507860977033616,0.6089276234782041,5.51944681428921,0.29148954610472,0.314854618193805,,26.7749640918852,0.25248941603230396,0.3577105603258789,0.6182289424331829,83.6846421267179,-0.16600329070406694,0.2255274763990701,0.7894153562766569,45.88026912693361,0.219733281117448,0.253488339228227,0.5510584117993771,92.57605741438309,0.8415574191952071,0.319318716953208,0.0420410502481969
423,Aech|LOC105149040,Cpla|SGF52740,Dqua|LOC106748414,Hsal|LOC105185999,Obir|LOC105277964,Orug|SGF81562,Sinv|LOC105200782,1946.21662679754,-0.24468428910193,0.36487027309381104,0.7934326422926071,87.0198320493609,0.251464885181183,0.348311774723368,0.614853492354434,137.015657752475,-0.6742598603174971,0.197317270382393,0.0991126331898224,72.83318480486429,-0.285557230208339,0.193257912663575,0.24312325089879105,1136.70118260131,0.17920479507505802,0.15075543007526698,0.608615149738751,867.414114352408,0.7624305952514321,0.20825386182630104,0.00146696605758922,102.32353925976601,1.4641317752207,0.23310538724495106,1.58435417816598e-08
438,Aech|LOC105150284,Cpla|SGF53503,Dqua|LOC106745222,Hsal|LOC105189389,Obir|LOC105285195,Orug|SGF60150,Sinv|LOC105207463,12929.5661981952,0.2527743244918469,0.326600120528388,0.758096581109668,731.6125591529359,0.0525313918102084,0.18548740834887306,0.853398048210302,1184.7351833502698,-0.0732081181248637,0.16650590493001302,0.962357873978161,5057.124814479629,0.500694347008349,0.10366695979060304,1.4658670767012198e-05,5379.48922337488,-0.41302708095065294,0.148425313814535,0.063346433216117,2727.72324674997,0.71782415766176,0.0952885659283911,2.1417484909021597e-12,21742.949479876002,0.931173697191887,0.259688270365046,
451,Aech|LOC105150895,Cpla|SGF49446,Dqua|LOC106748000,Hsal|LOC105185030,Obir|LOC105278832,Orug|SGF85661,Sinv|LOC105193959,73.48663648137071,-0.320496541231302,0.33671799819285897,0.6951964790095789,411.25647807091485,-0.8420982543106801,0.163306913537966,3.81802777525185e-06,89.7835795892072,0.0590692625950328,0.25162700316247,0.979074933243366,442.362805167713,-0.377973014901966,0.150148340394479,0.0333669795485751,1150.92931083636,-0.342859964434985,0.15188012226258701,0.170992237377461,20.05000956811369,0.33758293923666305,0.17685482277233106,0.131044114079671,85.8908975016822,-0.210961221758416,0.321763621269385,0.7052664447766059
462,Aech|LOC105149705,Cpla|SGF52341,Dqua|LOC106740783,Hsal|LOC105184230,Obir|LOC105275661,Orug|SGF70607,Sinv|LOC105207613,885.597778698821,0.3630549014057299,0.37823139069791295,0.691972014900884,50.455649554628714,0.0997924022993593,0.8203666032381239,0.937761654411296,69.7692986078632,0.0458858330501542,0.24302521918368,0.984874295397627,367.844542516642,1.03847903156332,0.17626780580032606,9.224206401267427e-08,24.355832285757298,-0.092960289512149,0.251128595213305,0.9176691125243119,11.7631463000577,-0.0974613052089921,0.27676426793076697,0.829539420390184,19.1326409627531,1.13107347713114,0.459464706008188,
474,Aech|LOC105149876,Cpla|SGF62470,Dqua|LOC106746262,Hsal|LOC105191723,Obir|LOC105287631,Orug|SGF67450,Sinv|LOC105199864,5371.633796629861,-0.3648581348625779,0.287633256460206,0.559643636385376,187.547982589249,-0.575166562548832,0.20393102486378892,0.0176506340956672,61.533549909834,-0.401897094257326,0.296840646533372,0.833415771216338,90.41791249955799,0.624364416968073,0.165903144624264,0.0009209253906259187,76.44196346021229,-0.3928522270569521,0.24982883677408,0.43580690561709395,63.616792681746595,0.9321546475524279,0.12266085372964695,1.32849124780982e-12,632.604428035697,1.9507607013508,0.26163714159499,8.872861448836322e-12
488,Aech|LOC105151526,Cpla|SGF51073,Dqua|LOC106744779,Hsal|LOC105188701,Obir|LOC105284606,Orug|SGF78381,Sinv|LOC105196790,932.670490383033,0.3795538343189029,0.347275547967545,0.640225711475648,113.802998692285,0.40832953898301,0.411783224495239,0.47224890708783596,36.9575410409928,-0.3684932569642101,0.25173817199528103,0.803208477910275,5.875618741938161,-0.27900238970353003,0.5240093754449839,0.714345812931419,56.74561906815661,0.331549149163049,0.24135235496982896,0.5243419410089961,127.70266330720699,0.4404913850631,0.13514408639232098,0.005246440514408221,138.811751074986,2.05531345206176,0.395417420183406,4.65832796813623e-06
